MonthNum,Year,Quantity,Discount Percentage,Marketing Spend (USD),Actual,Predicted
7,2023,0,0,112,0.0,-111.73909758718219
7,2022,0,0,0,0.0,-82.78364116459124
8,2023,0,0,0,0.0,-106.98620636120904
10,2022,0,0,31,0.0,-102.2647751793047
11,2022,0,5,144,0.0,-256.3578847809549
12,2022,0,0,137,0.0,-123.09723942644632
11,2023,0,0,120,0.0,-134.64947357658093
10,2022,0,0,163,0.0,-114.40007385893841
5,2022,0,0,0,0.0,-71.6961894935157
5,2022,0,0,0,0.0,-71.6961894935157
12,2022,0,0,0,0.0,-110.5022703422801
1,2023,0,0,0,0.0,-68.18012551245192
9,2023,0,0,0,0.0,-112.52993219674681
8,2023,0,15,0,0.0,-521.4687042322985
12,2022,0,0,0,0.0,-110.5022703422801
4,2022,0,0,0,0.0,-66.15246365798521
2,2022,0,20,0,0.0,-607.7083424816956
1,2022,0,15,0,0.0,-464.00378402246133
10,2023,0,5,0,0.0,-256.23449065598106
10,2023,0,10,0,0.0,-394.39532327967754
5,2023,0,0,131,0.0,-102.39839345332439
10,2022,0,0,0,0.0,-99.41481867120456
5,2022,0,20,0,0.0,-624.3395199883016
11,2022,0,0,97,0.0,-113.87615035465569
11,2023,0,10,0,0.0,-399.9390491152153
10,2022,0,5,0,0.0,-237.57565129490104
6,2022,0,0,74,0.0,-84.04303731612163
12,2023,0,0,85,0.0,-136.97550658039836
11,2022,0,0,123,0.0,-116.26643645822332
4,2022,0,0,0,0.0,-66.15246365798521
5,2022,0,0,122,0.0,-82.91214736409165
4,2022,0,15,0,0.0,-480.63496152907464
11,2023,0,20,0,0.0,-676.2607143626083
7,2022,0,5,0,0.0,-220.94447378828772
4,2023,0,0,0,0.0,-84.81130301906524
10,2023,0,0,0,0.0,-118.07365803228458
3,2023,0,5,0,0.0,-217.42840980722394
8,2023,0,0,128,0.0,-118.75376871722256
4,2022,0,0,24,0.0,-68.35888159973547
2,2023,0,20,121,0.0,-637.4912056324392
7,2023,0,20,0,0.0,-654.0858110204572
7,2022,0,10,0,0.0,-359.1053064119842
12,2022,0,0,80,0.0,-117.85699681478582
7,2023,0,0,114,0.0,-111.92296574899228
3,2023,0,0,0,0.0,-79.26757718352746
1,2023,1,10,0,27.34,129.8290512320964
3,2023,1,0,41,30.38,391.2939674912559
2,2023,1,0,171,30.38,384.88626280897006
9,2022,1,0,0,30.38,380.4597491562745
2,2022,1,0,153,30.38,405.1999156263628
9,2023,1,10,0,50.39,85.4792445478015
5,2023,2,10,114,54.68,571.5045046585656
5,2023,1,0,161,55.99,369.1744261114145
6,2023,1,0,180,55.99,361.88395273866627
1,2022,2,0,191,60.76,881.5809883793991
3,2022,2,0,0,60.76,888.0529461614351
2,2022,2,0,170,60.76,877.9678782428964
7,2023,1,10,119,66.96,85.62654059102351
8,2023,1,0,147,67.5,353.83032573750097
2,2022,1,0,36,67.5,415.9562030924062
4,2023,1,0,60,67.5,384.0034941184931
5,2022,1,0,12,67.5,401.53144352754316
3,2023,1,5,0,70.68,256.9024321847173
1,2023,3,20,0,72.91,802.169069968586
1,2023,1,0,106,74.4,396.405703903416
4,2022,1,0,98,74.4,399.16883840513765
10,2022,1,0,169,74.4,359.3791636475653
12,2023,1,0,2,74.4,344.98586412677105
4,2022,3,15,110,77.47,932.2448155470483
5,2022,3,15,83,77.47,929.1833098959833
1,2022,3,10,0,82.03,1097.149574577059
11,2023,3,5,100,86.58,1152.0209013936692
6,2022,3,0,14,91.14,1344.4655335140778
6,2023,3,0,57,91.14,1321.8535286740225
1,2022,3,0,65,91.14,1367.4955245655365
12,2023,3,0,69,91.14,1287.487964689928
7,2022,3,0,0,91.14,1340.2088848112253
9,2022,3,0,0,91.14,1329.121433140157
4,2023,3,0,0,91.14,1338.1812229567586
1,2023,3,0,0,91.14,1354.812400463372
4,2023,3,0,0,91.14,1338.1812229567586
9,2022,3,0,103,91.14,1319.652222806806
3,2023,3,0,0,91.14,1343.7249487922963
6,2023,3,0,108,91.14,1317.1648905477996
6,2022,1,10,0,96.03,120.76926141549484
5,2022,4,20,0,97.22,1272.9838479794562
6,2023,4,20,116,97.22,1238.1169293977
11,2022,2,10,0,100.78,567.3814742297473
11,2022,1,5,0,101.36,231.21146486150246
4,2022,1,20,0,104.66,-144.46495216082985
1,2022,2,20,20,108.0,344.65838571959466
3,2023,4,10,0,109.37,1541.7341255368447
5,2022,4,10,164,109.37,1534.2283239582102
9,2022,1,15,147,111.2,-47.53705860804621
10,2022,2,0,0,111.98,849.246865312678
9,2023,2,0,70,111.98,829.696366123695
3,2023,2,0,10,111.98,868.47476599129
10,2023,2,0,0,111.98,830.588025951598
6,2022,2,0,0,111.98,871.4217686548218
1,2023,2,0,0,111.98,880.4815584714306
8,2022,2,0,198,111.98,842.1313689642993
6,2022,2,0,24,111.98,869.2153507130715
6,2023,2,0,0,111.98,852.7629292937418
1,2022,2,0,7,111.98,898.496859266168
8,2022,2,20,34,119.04,304.5652277381523
9,2023,2,10,0,121.5,559.8100865397428
5,2023,4,0,155,121.52,1792.7185565726759
10,2023,4,0,0,121.52,1779.2497099354732
7,2022,4,0,0,121.52,1814.5397268031666
6,2022,5,20,100,121.52,1732.577556045224
6,2022,4,0,92,121.52,1811.6255171953235
9,2022,4,0,0,121.52,1803.452275132091
8,2023,4,0,0,121.52,1790.3371616065488
3,2023,4,0,0,121.52,1818.0557907842376
1,2023,4,0,0,121.52,1829.1432424553059
9,2022,4,0,0,121.52,1803.452275132091
6,2022,4,0,0,121.52,1820.0834526387043
1,2022,4,0,0,121.52,1847.802081816386
1,2023,4,0,0,121.52,1829.1432424553059
3,2023,4,0,0,121.52,1818.0557907842376
10,2022,2,5,0,128.25,711.0860326889815
3,2023,2,5,0,128.25,731.2332741766586
5,2022,1,0,28,130.82,400.06049823304056
5,2022,1,0,9,130.82,401.8072457702583
11,2023,1,0,0,130.82,350.7134581241189
2,2023,1,0,0,130.82,400.6069906439516
11,2023,1,0,134,130.82,338.39429128266784
12,2023,1,0,0,130.82,345.16973228858114
11,2022,1,0,0,130.82,369.37229748519894
1,2023,1,20,98,131.54,-155.50215394411498
1,2022,1,20,97,131.54,-136.7513805021299
7,2023,2,10,26,133.92,568.5072521072434
7,2022,2,10,0,133.92,589.5563775718911
8,2023,2,10,0,133.92,565.3538123752805
7,2023,2,0,39,135.0,843.6337743028562
12,2022,2,0,12,135.0,837.0562046707273
3,2022,2,0,0,135.0,888.0529461614351
10,2023,2,0,35,135.0,827.3703331198776
8,2023,2,0,103,135.0,832.2062672893226
3,2022,2,0,0,135.0,888.0529461614351
1,2022,3,15,0,142.77,958.9887419533625
4,2022,5,5,0,144.3,2167.3409136780247
8,2023,6,20,162,145.82,2171.4621939888166
5,2022,1,10,0,147.99,126.31298725102533
9,2023,1,0,0,148.1,361.80090979519446
11,2022,1,0,84,148.1,361.64983468906576
4,2023,1,0,23,148.1,387.4050551120308
8,2023,1,0,157,148.1,352.91098492843594
1,2022,1,0,186,148.1,407.7098167919903
9,2023,2,0,108,148.8,826.2028710492523
12,2022,2,0,0,148.8,838.1594136416024
10,2023,2,0,0,148.8,830.588025951598
9,2022,2,0,195,148.8,836.8634453714767
3,2023,2,0,161,148.8,854.5927197744313
3,2023,2,0,128,148.8,857.6265444443416
8,2023,2,0,185,148.8,824.6676726549995
3,2022,2,0,25,148.8,885.7545941387798
5,2023,2,0,171,148.8,842.585927294298
3,2023,2,0,41,148.8,865.6248094831972
8,2022,2,0,0,148.8,860.3343169837535
10,2023,2,0,0,148.8,830.588025951598
4,2022,5,0,136,151.9,2292.99871129846
7,2022,5,0,68,151.9,2282.6190512934772
1,2022,5,0,0,151.9,2322.132923808327
4,2022,5,0,47,151.9,2301.1808444991257
11,2023,5,0,81,151.9,2240.590165538466
12,2022,5,0,173,151.9,2245.2473436206274
6,2022,5,0,0,151.9,2294.4142946306456
4,2023,5,0,0,151.9,2286.842906940641
